fixed,fixed_value,variable,in_a,agg,model,theta
[name],"[""David J. DeWitt""]","[year, pubcount]",pubkey,count,const,0.964294972685089
[name],"[""David Jensen""]","[year, pubcount]",pubkey,count,const,0.987526281801654
[name],"[""David M. Blei""]","[year, pubcount]",pubkey,count,const,0.999978556039791
[name],"[""David Maier""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""David Silver""]","[year, pubcount]",pubkey,count,const,0.986659104511567
[name],"[""David W. Cheung""]","[year, pubcount]",pubkey,count,const,0.958360583945661
[name],"[""Deepak Agarwal""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Deng Cai""]","[year, pubcount]",pubkey,count,const,0.998204694119404
[name],"[""Diego Calvanese""]","[year, pubcount]",pubkey,count,const,0.999925914806325
[name],"[""Dieter Fox""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Dimitrios Gunopulos""]","[year, pubcount]",pubkey,count,const,0.89288001039013
[name],"[""Dimitris Papadias""]","[year, pubcount]",pubkey,count,const,0.997846126750871
[name],"[""Dit-Yan Yeung""]","[year, pubcount]",pubkey,count,const,0.998495881717416
[name],"[""Divesh Srivastava""]","[year, pubcount]",pubkey,count,const,0.999999953040237
[name],"[""Divyakant Agrawal""]","[year, pubcount]",pubkey,count,const,0.999910893522926
[name],"[""Doina Precup""]","[year, pubcount]",pubkey,count,const,0.999591733592754
[name],"[""Donald Kossmann""]","[year, pubcount]",pubkey,count,const,0.99842438433223
[name],"[""Dong Xin""]","[year, pubcount]",pubkey,count,const,0.974913501792982
[name],"[""Donghui Zhang""]","[year, pubcount]",pubkey,count,const,0.99975463046955
[name],"[""Dou Shen""]","[year, pubcount]",pubkey,count,const,0.849368556150675
[name],"[""Eamonn J. Keogh""]","[year, pubcount]",pubkey,count,const,0.995711199665676
[name],"[""Edith Elkind""]","[year, pubcount]",pubkey,count,const,0.997664179422693
[name],"[""Eero P. Simoncelli""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Elisa Bertino""]","[year, pubcount]",pubkey,count,const,0.973878525763091
[name],"[""Elke A. Rundensteiner""]","[year, pubcount]",pubkey,count,const,0.999995909856715
[name],"[""Erhard Rahm""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Eric A. Hansen""]","[year, pubcount]",pubkey,count,const,0.982175450874206
[name],"[""Eric Horvitz""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Eric Lo""]","[year, pubcount]",pubkey,count,const,0.849368556150675
[name],"[""Eric P. Xing""]","[year, pubcount]",pubkey,count,const,0.995466194473751
[name],"[""Erik B. Sudderth""]","[year, pubcount]",pubkey,count,const,0.995870034568339
[name],"[""Esra Erdem""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Evimaria Terzi""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Eyal Amir""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Eyke H++llermeier""]","[year, pubcount]",pubkey,count,const,0.981047515705364
[name],"[""Fei Sha""]","[year, pubcount]",pubkey,count,const,0.999251991721361
[name],"[""Fei Wang 0001""]","[year, pubcount]",pubkey,count,const,0.982175450874206
[name],"[""Feifei Li""]","[year, pubcount]",pubkey,count,const,0.989893393238792
[name],"[""Feiping Nie""]","[year, pubcount]",pubkey,count,const,0.772760275073093
[name],"[""Felix Naumann""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Fernando Pereira""]","[year, pubcount]",pubkey,count,const,0.85711248909197
[name],"[""Flip Korn""]","[year, pubcount]",pubkey,count,const,0.939091664877378
[name],"[""Floris Geerts""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Fran+\\xbaois Laviolette""]","[year, pubcount]",pubkey,count,const,0.981047515705364
[name],"[""Francesco Bonchi""]","[year, pubcount]",pubkey,count,const,0.84914503608461
[name],"[""Francis Bach""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Frank Neven""]","[year, pubcount]",pubkey,count,const,0.93435754562155
[name],"[""Frank Wolter""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Frederick Reiss""]","[year, pubcount]",pubkey,count,const,0.99205054911563
[name],"[""Gal A. Kaminka""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Gautam Das""]","[year, pubcount]",pubkey,count,const,0.999778578845567
[name],"[""Geoffrey E. Hinton""]","[year, pubcount]",pubkey,count,const,0.999978556039791
[name],"[""Geoffrey J. Gordon""]","[year, pubcount]",pubkey,count,const,0.995711199665676
[name],"[""George Kollios""]","[year, pubcount]",pubkey,count,const,0.984314601089608
[name],"[""Georgia Koutrika""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Gerhard Weikum""]","[year, pubcount]",pubkey,count,const,0.808709500712001
[name],"[""Giuseppe De Giacomo""]","[year, pubcount]",pubkey,count,const,0.999994031096037
[name],"[""Glenn Fung""]","[year, pubcount]",pubkey,count,const,0.996196835547539
[name],"[""Goetz Graefe""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Graham Cormode""]","[year, pubcount]",pubkey,count,const,0.997278061490967
[name],"[""Guido Moerkotte""]","[year, pubcount]",pubkey,count,const,0.998204694119404
[name],"[""Guoliang Li""]","[year, pubcount]",pubkey,count,const,0.875847444206359
[name],"[""Gustavo Alonso""]","[year, pubcount]",pubkey,count,const,0.875847444206359
[name],"[""Guy M. Lohman""]","[year, pubcount]",pubkey,count,const,0.84914503608461
[name],"[""H. V. Jagadish""]","[year, pubcount]",pubkey,count,const,0.951628583629945
[name],"[""Haixun Wang""]","[year, pubcount]",pubkey,count,const,0.998835353141532
[name],"[""Hal Daum+\\xac III""]","[year, pubcount]",pubkey,count,const,0.901297024724506
[name],"[""Han Liu""]","[year, pubcount]",pubkey,count,const,0.997664179422693
[name],"[""Hanan Samet""]","[year, pubcount]",pubkey,count,const,0.995870034568339
[name],"[""Hanghang Tong""]","[year, pubcount]",pubkey,count,const,0.993347785752577
[name],"[""Hans-Arno Jacobsen""]","[year, pubcount]",pubkey,count,const,0.99205054911563
[name],"[""Hans-Peter Kriegel""]","[year, pubcount]",pubkey,count,const,0.964349517795485
[name],"[""Hector Garcia-Molina""]","[year, pubcount]",pubkey,count,const,0.95788160671859
[name],"[""Hector Geffner""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Hector J. Levesque""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Heikki Mannila""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Heng Tao Shen""]","[year, pubcount]",pubkey,count,const,0.899333956040751
[name],"[""Henry A. Kautz""]","[year, pubcount]",pubkey,count,const,0.999925914806325
[name],"[""Hong Cheng""]","[year, pubcount]",pubkey,count,const,0.871479696581286
[name],"[""Hongyuan Zha""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Hua Wang""]","[year, pubcount]",pubkey,count,const,0.962565773247296
[name],"[""Huan Liu""]","[year, pubcount]",pubkey,count,const,0.992707833494789
[name],"[""Hui Xiong""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Ian Davidson""]","[year, pubcount]",pubkey,count,const,0.972456743210471
[name],"[""Ihab F. Ilyas""]","[year, pubcount]",pubkey,count,const,0.93317563159434
[name],"[""Inderjit S. Dhillon""]","[year, pubcount]",pubkey,count,const,0.99920310142773
[name],"[""Ioana Manolescu""]","[year, pubcount]",pubkey,count,const,0.999251991721361
[name],"[""Ion Stoica""]","[year, pubcount]",pubkey,count,const,0.981047515705364
[name],"[""Irwin King""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Ivor W. Tsang""]","[year, pubcount]",pubkey,count,const,0.976884712247367
[name],"[""J++rgen Schmidhuber""]","[year, pubcount]",pubkey,count,const,0.939091664877378
[name],"[""J+\\xacr+\\xa6me Lang""]","[year, pubcount]",pubkey,count,const,1
[name],"[""James T. Kwok""]","[year, pubcount]",pubkey,count,const,0.999574813001056
[name],"[""Jan Peters""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Jason Weston""]","[year, pubcount]",pubkey,count,const,0.986659104511567
[name],"[""Jayant Madhavan""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Jayant R. Haritsa""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Jayavel Shanmugasundaram""]","[year, pubcount]",pubkey,count,const,0.998204694119404
[name],"[""Jean-Philippe Vert""]","[year, pubcount]",pubkey,count,const,0.990926897805081
[name],"[""Jeff A. Bilmes""]","[year, pubcount]",pubkey,count,const,1
[name],"[""Jeff G. Schneider""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Jeffrey F. Naughton""]","[year, pubcount]",pubkey,count,const,0.998729586471584
[name],"[""Jeffrey S. Rosenschein""]","[year, pubcount]",pubkey,count,const,0.997664179422693
[name],"[""Jeffrey Xu Yu""]","[year, pubcount]",pubkey,count,const,0.995006046656038
[name],"[""Jennifer Widom""]","[year, pubcount]",pubkey,count,const,0.986711513917119
[name],"[""Jens Dittrich""]","[year, pubcount]",pubkey,count,const,0.982175450874206
[name],"[""Jens Teubner""]","[year, pubcount]",pubkey,count,const,0.860922170166953
[name],"[""Ji-Rong Wen""]","[year, pubcount]",pubkey,count,const,0.999223748623793
[name],"[""Jian Pei""]","[year, pubcount]",pubkey,count,const,0.954655642763479
[name],"[""Jianhua Feng""]","[year, pubcount]",pubkey,count,const,0.914033050101054
[name],"[""Jianliang Xu""]","[year, pubcount]",pubkey,count,const,0.995870034568339
[name],"[""Jianyong Wang""]","[year, pubcount]",pubkey,count,const,0.998495881717416
[name],"[""Jianzhong Li""]","[year, pubcount]",pubkey,count,linear,0.781979571984403
[name],"[""Jianzhong Li""]","[year, pubcount]",pubkey,count,const,0.83866933117115
[name],"[""Jiawei Han""]","[year, pubcount]",pubkey,count,const,0.999998295672519
[name],"[""Jie Tang""]","[year, pubcount]",pubkey,count,const,0.995870034568339
[name],"[""Jieping Ye""]","[year, pubcount]",pubkey,count,const,0.999994191154399
